chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
1,Alpha,collegiate,Cornell University,New York,Eastern,Active,false
23,Alpha Alpha,collegiate,University of Cincinnati,Ohio,Midwestern,Active,false
123,Alpha Alpha Lambda,alumni,,New Jersey,Eastern,Active,false
24,Alpha Beta,collegiate,Talladega College,Alabama,Southern,Active,false
124,Alpha Beta Lambda,alumni,,Kentucky,Midwestern,Active,false
43,Alpha Chi,collegiate,Fisk University,Tennessee,Southern,Active,false
143,Alpha Chi Lambda,alumni,,Georgia,Southern,Active,false
26,Alpha Delta,collegiate,University of Southern California,Southern California,Western,Active,false
126,Alpha Delta Lambda,alumni,,Tennessee,Southern,Active,false
27,Alpha Epsilon,collegiate,University of California - Berkeley,Northern California,Western,Active,false
127,Alpha Epsilon Lambda,alumni,,Mississippi,Southern,Active,false
29,Alpha Eta,collegiate,Saint Louis University,Missouri,Midwestern,Active,false
129,Alpha Eta Lambda,alumni,,Texas,Southwestern,Active,false
25,Alpha Gamma,collegiate,Brown University,New England,Eastern,Inactive,false
125,Alpha Gamma Lambda,alumni,,New York,Eastern,Active,false
31,Alpha Iota,collegiate,University of Colorado,Rocky Mountain (Colorado/Utah),Western,Dechartered,true
131,Alpha Iota Lambda,alumni,,West Virginia,Midwestern,Inactive,false
32,Alpha Kappa,collegiate,Amherst College,New England,Eastern,Active,false
132,Alpha Kappa Lambda,alumni,,Virginia,Eastern,Active,false
101,Alpha Lambda,alumni,,Kentucky,Midwestern,Active,false
33,Alpha Mu,collegiate,Northwestern University,Illinois,Midwestern,Active,false
133,Alpha Mu Lambda,alumni,,Tennessee,Southern,Active,false
34,Alpha Nu,collegiate,Drake University,Iowa,Midwestern,Dechartered,true
134,Alpha Nu Lambda,alumni,,Alabama,Southern,Active,false
36,Alpha Omicron,collegiate,Johnson C. Smith University,North Carolina,Southern,Active,false
136,Alpha Omicron Lambda,alumni,,Pennsylvania,Eastern,Active,false
42,Alpha Phi,collegiate,Clark Atlanta University,Georgia,Southern,Active,false
142,Alpha Phi Lambda,alumni,,Virginia,Eastern,Active,false
37,Alpha Pi,collegiate,University of Louisville,Kentucky,Midwestern,Active,false
137,Alpha Pi Lambda,alumni,,North Carolina,Southern,Active,false
44,Alpha Psi,collegiate,Lincoln University,Missouri,Midwestern,Suspended,false
144,Alpha Psi Lambda,alumni,,South Carolina,Southern,Active,false
38,Alpha Rho,collegiate,Morehouse College,Georgia,Southern,Active,false
138,Alpha Rho Lambda,alumni,,Ohio,Midwestern,Active,false
39,Alpha Sigma,collegiate,Wiley College,Texas,Southwestern,Active,false
139,Alpha Sigma Lambda,alumni,,Texas,Southwestern,Active,false
40,Alpha Tau,collegiate,University of Akron,Ohio,Midwestern,Active,false
140,Alpha Tau Lambda,alumni,,Oklahoma,Southwestern,Active,false
30,Alpha Theta,collegiate,University of Iowa,Iowa,Midwestern,Active,false
130,Alpha Theta Lambda,alumni,,New Jersey,Eastern,Active,false
41,Alpha Upsilon,collegiate,Wayne State University,Michigan,Midwestern,Active,false
141,Alpha Upsilon Lambda,alumni,,Alabama,Southern,Active,false
35,Alpha Xi,collegiate,University of Washington,Great Northwest,Western,Active,false
135,Alpha Xi Lambda,alumni,,Ohio,Midwestern,Active,false
28,Alpha Zeta,collegiate,West Virginia State University,West Virginia,Midwestern,Active,false
128,Alpha Zeta Lambda,alumni,,West Virginia,Midwestern,Active,false
2,Beta,collegiate,Howard University,"Washington DC, Maryland, Delaware",Eastern,Active,false
45,Beta Alpha,collegiate,Morgan State University,"Washington DC, Maryland, Delaware",Eastern,Active,false
145,Beta Alpha Lambda,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
46,Beta Beta,collegiate,"University of Nebraska, Omaha",Nebraska,Midwestern,Active,false
146,Beta Beta Lambda,alumni,,Florida,Southern,Active,false
65,Beta Chi,collegiate,Philander Smith College,Arkansas,Southwestern,Active,false
