chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
1,Alpha,New York,Eastern,,,,
23,Alpha Alpha,Ohio,Midwestern,,,,
123,Alpha Alpha Lambda,New Jersey,Eastern,,,,
24,Alpha Beta,Alabama,Southern,,,,
124,Alpha Beta Lambda,Kentucky,Midwestern,,,,
43,Alpha Chi,Tennessee,Southern,,,,
143,Alpha Chi Lambda,Georgia,Southern,,,,
26,Alpha Delta,Southern California,Western,,,,
126,Alpha Delta Lambda,Tennessee,Southern,,,,
27,Alpha Epsilon,Northern California,Western,,,,
127,Alpha Epsilon Lambda,Mississippi,Southern,,,,
29,Alpha Eta,Missouri,Midwestern,,,,
129,Alpha Eta Lambda,Texas,Southwestern,,,,
25,Alpha Gamma,New England,Eastern,,,,
125,Alpha Gamma Lambda,New York,Eastern,,,,
31,Alpha Iota,Rocky Mountain (Colorado/Utah),Western,,,,
131,Alpha Iota Lambda,West Virginia,Midwestern,,,,
32,Alpha Kappa,New England,Eastern,,,,
132,Alpha Kappa Lambda,Virginia,Eastern,,,,
101,Alpha Lambda,Kentucky,Midwestern,,,,
33,Alpha Mu,Illinois,Midwestern,,,,
133,Alpha Mu Lambda,Tennessee,Southern,,,,
34,Alpha Nu,Iowa,Midwestern,,,,
134,Alpha Nu Lambda,Alabama,Southern,,,,
36,Alpha Omicron,North Carolina,Southern,,,,
136,Alpha Omicron Lambda,Pennsylvania,Eastern,,,,
42,Alpha Phi,Georgia,Southern,,,,
142,Alpha Phi Lambda,Virginia,Eastern,,,,
37,Alpha Pi,Kentucky,Midwestern,,,,
137,Alpha Pi Lambda,North Carolina,Southern,,,,
44,Alpha Psi,Missouri,Midwestern,,,,
144,Alpha Psi Lambda,South Carolina,Southern,,,,
38,Alpha Rho,Georgia,Southern,,,,
138,Alpha Rho Lambda,Ohio,Midwestern,,,,
39,Alpha Sigma,Texas,Southwestern,,,,
139,Alpha Sigma Lambda,Texas,Southwestern,,,,
40,Alpha Tau,Ohio,Midwestern,,,,
140,Alpha Tau Lambda,Oklahoma,Southwestern,,,,
30,Alpha Theta,Iowa,Midwestern,,,,
130,Alpha Theta Lambda,New Jersey,Eastern,,,,
41,Alpha Upsilon,Michigan,Midwestern,,,,
141,Alpha Upsilon Lambda,Alabama,Southern,,,,
35,Alpha Xi,Great Northwest,Western,,,,
135,Alpha Xi Lambda,Ohio,Midwestern,,,,
28,Alpha Zeta,West Virginia,Midwestern,,,,
128,Alpha Zeta Lambda,West Virginia,Midwestern,,,,
